TimeStamp,Dataset Name,TimeStamp,Hub Wind Speed,Hub Turbulence,REWS To Hub Ratio Full,REWS To Hub Ratio Just Wind Speed,REWS To Hub Ratio Just Wind Speed And Veer,REWS To Hub Ratio Just Wind Speed And Upflow,REWS To Hub Ratio Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Hub Power,Normalised WS,Rotor Equivalent Wind Speed,REWS Power,Simulated TI Corrected Power,Combined Power,Power Deviation Matrix Power,Base Power
2012-10-31 15:40:00,Dataset 2,2012-10-31 15:40:00,16.583662,0.069948,0.998696987146,0.998696987146,0.998696987146,0.998696987146,-0.00130301285389,16.583662,17.0,0.07,2000.0,1.90965560194,16.5620532752,2000.0,1999.64075826,1999.63501288,2000.0,2000.0
2012-10-31 15:50:00,Dataset 2,2012-10-31 15:50:00,16.644419,0.087717,0.998012665692,0.998012665692,0.998012665692,0.998012665692,-0.00198733430754,16.644419,17.0,0.09,2000.0,1.91887588658,16.6113409751,2000.0,1999.83481565,1999.83171303,2000.0,2000.0
2012-10-31 16:00:00,Dataset 2,2012-10-31 16:00:00,17.324718,0.072728,1.00037612919,1.00037612919,1.00037612919,1.00037612919,0.00037612919031,17.324718,17.0,0.07,2000.0,2.02211584934,17.3312343322,2000.0,1999.81102641,1999.81204805,2000.0,2000.0
2012-10-31 16:10:00,Dataset 2,2012-10-31 16:10:00,17.680255,0.062782,1.0004585042,1.0004585042,1.0004585042,1.0004585042,0.000458504196646,17.680255,18.0,0.07,2000.0,2.07607098766,17.6883614711,2000.0,1999.84068197,1999.84182928,2000.0,2000.0
2012-10-31 16:20:00,Dataset 2,2012-10-31 16:20:00,17.416621,0.056842,0.998392103297,0.998392103297,0.998392103297,0.998392103297,-0.00160789670312,17.416621,17.0,0.05,2000.0,2.0360627496,17.3886168725,2000.0,1999.7885962,1999.78319881,2000.0,2000.0
2012-10-31 16:30:00,Dataset 2,2012-10-31 16:30:00,17.213617,0.065065,0.999746006854,0.999746006854,0.999746006854,0.999746006854,-0.000253993145932,17.213617,17.0,0.07,2000.0,2.00525552307,17.2092448593,2000.0,1999.76562623,1999.76474585,2000.0,2000.0
2012-10-31 16:40:00,Dataset 2,2012-10-31 16:40:00,16.882742,0.062786,0.997844408886,0.997844408886,0.997844408886,0.997844408886,-0.00215559111368,16.882742,17.0,0.07,2000.0,1.95504300963,16.8463497114,2000.0,1999.68147525,1999.67176293,2000.0,2000.0
2012-10-31 16:50:00,Dataset 2,2012-10-31 16:50:00,16.436958,0.062664,0.999298765071,0.999298765071,0.999298765071,0.999298765071,-0.00070123492882,16.436958,16.0,0.07,2000.0,1.88739228023,16.4254318309,2000.0,1999.54574654,1999.54179576,2000.0,2000.0
2012-10-31 17:00:00,Dataset 2,2012-10-31 17:00:00,15.856174,0.071896,1.00122916691,1.00122916691,1.00122916691,1.00122916691,0.00122916690683,15.856174,16.0,0.07,2000.0,1.79925439007,15.8756638843,2000.0,1999.45968577,1999.46486118,2000.0,2000.0
2012-10-31 17:10:00,Dataset 2,2012-10-31 17:10:00,16.299163,0.066261,1.00014168795,1.00014168795,1.00014168795,1.00014168795,0.000141687953318,16.299163,16.0,0.07,2000.0,1.86648095937,16.301472395,2000.0,1999.52629375,1999.52705694,2000.0,2000.0
2012-10-31 17:20:00,Dataset 2,2012-10-31 17:20:00,15.864415,0.071229,0.998477762907,0.998477762907,0.998477762907,0.998477762907,-0.00152223709336,15.864415,16.0,0.07,2000.0,1.80050501742,15.840265599,2000.0,1999.45086737,1999.44424495,2000.0,2000.0
2012-10-31 17:30:00,Dataset 2,2012-10-31 17:30:00,15.504147,0.080624,1.0004211518,1.0004211518,1.0004211518,1.0004211518,0.000421151797456,15.504147,16.0,0.09,2000.0,1.74583191793,15.5106765994,2000.0,1999.59577201,1999.59587658,2000.0,2000.0
2012-10-31 17:40:00,Dataset 2,2012-10-31 17:40:00,15.426029,0.060936,1.00082206127,1.00082206127,1.00082206127,1.00082206127,0.000822061267598,15.426029,15.0,0.07,2000.0,1.73397698442,15.438710141,2000.0,1999.13429935,1999.13872898,2000.0,2000.0
2012-10-31 17:50:00,Dataset 2,2012-10-31 17:50:00,15.803789,0.068338,0.998291073207,0.998291073207,0.998291073207,0.998291073207,-0.00170892679301,15.803789,16.0,0.07,2000.0,1.79130461292,15.7767814815,2000.0,1999.38658135,1999.3781693,2000.0,2000.0
2012-10-31 18:00:00,Dataset 2,2012-10-31 18:00:00,15.264331,0.075994,1.00555746946,1.00555746946,1.00555746946,1.00555746946,0.00555746946057,15.264331,15.0,0.07,2000.0,1.70943822206,15.3491620534,2000.0,1999.47170985,1999.46965867,2000.0,2000.0
2012-10-31 18:10:00,Dataset 2,2012-10-31 18:10:00,15.414821,0.07136,1.00171322621,1.00171322621,1.00171322621,1.00171322621,0.00171322620935,15.414821,15.0,0.07,2000.0,1.73227609481,15.4412300753,2000.0,1999.35336258,1999.35717346,2000.0,2000.0
2012-10-31 18:20:00,Dataset 2,2012-10-31 18:20:00,15.385021,0.065648,1.00111814128,1.00111814128,1.00111814128,1.00111814128,0.00111814127876,15.385021,15.0,0.07,2000.0,1.72775374377,15.4022236271,2000.0,1999.2159074,1999.22005532,2000.0,2000.0
2012-10-31 18:30:00,Dataset 2,2012-10-31 18:30:00,15.288536,0.068025,1.00052667395,1.00052667395,1.00052667395,1.00052667395,0.000526673953286,15.288536,15.0,0.07,2000.0,1.7131114941,15.2965880737,2000.0,1999.25388211,1999.25492754,2000.0,2000.0
2012-10-31 18:40:00,Dataset 2,2012-10-31 18:40:00,15.327012,0.074378,1.00310518338,1.00310518338,1.00310518338,1.00310518338,0.00310518338407,15.327012,15.0,0.07,2000.0,1.71895048667,15.374605183,2000.0,1999.42474493,1999.42655323,2000.0,2000.0
2012-10-31 18:50:00,Dataset 2,2012-10-31 18:50:00,14.377246,0.075814,1.00016289117,1.00016289117,1.00016289117,1.00016289117,0.00016289116754,14.377246,14.0,0.07,2000.0,1.57481708875,14.3795879264,2000.0,2000.0,2000.0,2000.0,2000.0
2012-10-31 19:00:00,Dataset 2,2012-10-31 19:00:00,14.821273,0.069495,1.00129635892,1.00129635892,1.00129635892,1.00129635892,0.00129635892449,14.821273,15.0,0.07,2000.0,1.64220118155,14.8404866895,2000.0,1999.36247188,1999.35339649,2000.0,2000.0
2012-10-31 19:10:00,Dataset 2,2012-10-31 19:10:00,13.244005,0.083056,0.997394081657,0.997394081657,0.997394081657,0.997394081657,-0.00260591834302,13.244005,13.0,0.09,1999.244005,1.40284012179,13.2094922044,1999.2094922,2000.0,2000.0,1999.244005,1999.244005
2012-10-31 19:20:00,Dataset 2,2012-10-31 19:20:00,14.264519,0.091135,1.00317640949,1.00317640949,1.00317640949,1.00317640949,0.00317640949196,14.264519,14.0,0.09,2000.0,1.557710006,14.3098289535,2000.0,2000.0,2000.0,2000.0,2000.0
