TimeStamp	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Shear Exponent	Profile Rotor Wind Speed	Profile Hub Wind Speed	Hub to Rotor Ratio	Hub to Rotor Deviation	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Rotor Equivalent Wind Speed	REWS Power	Turbulence Power	Combined Power
2012-03-27 00:10:00	Dataset 1	2012-03-27 00:10:00	11.03	0.132366	0.19665330210555415	11.239002172477303	11.217701337382097	1.0018988591739577	0.001898859173957712	11.03	11.0	0.13	1906.52	1906.52	11.050944416688752	1908.2	1848.1493307545645	1849.8023788833016
2012-03-27 00:20:00	Dataset 1	2012-03-27 00:20:00	11.62	0.08089500000000001	0.17229819339605076	11.149107715988274	11.265484847847489	0.9896695851593594	-0.010330414840640567	11.62	12.0	0.09	1956.08	1956.08	11.499960579551756	1946.0	1985.3182579463883	1977.0059533103504
2012-03-27 00:30:00	Dataset 1	2012-03-27 00:30:00	11.54	0.080589	0.22568676873820187	11.314307645087844	11.379455452744901	0.9942749626352865	-0.0057250373647135255	11.54	12.0	0.09	1949.36	1949.36	11.473933068811204	1943.48	1980.2664982544159	1975.3214713601615
2012-03-27 00:40:00	Dataset 1	2012-03-27 00:40:00	11.44	0.086538	0.19521787751724223	11.097565007986477	11.102576759097374	0.9995485956801162	-0.0004514043198837747	11.44	11.0	0.09	1940.96	1940.96	11.43483593458053	1940.12	1963.5734753797258	1962.77643246964
2012-03-27 00:50:00	Dataset 1	2012-03-27 00:50:00	11.91	0.10243499999999998	0.2573054237699922	11.561562933511714	11.606764612687352	0.9961055745779296	-0.0038944254220704133	11.91	12.0	0.11	1980.44	1980.44	11.86361739322314	1976.24	1977.0536839883987	1972.7644530708221
2012-03-27 01:00:00	Dataset 1	2012-03-27 01:00:00	12.48	0.086538	0.18926616364435903	12.09573393874738	12.08655535620675	1.0007594043356542	0.0007594043356542457	12.48	12.0	0.09	1993.28	1993.28	12.489477366108966	1993.39	2000.0	2000.0
2012-03-27 01:10:00	Dataset 1	2012-03-27 01:10:00	12.24	0.077614	0.30355480614388813	11.93398546369282	12.040940456372935	0.9911173887897182	-0.008882611210281777	12.24	12.0	0.06999999999999999	1990.64	1990.64	12.131276838786151	1989.43	2000.0	2000.0
2012-03-27 01:20:00	Dataset 1	2012-03-27 01:20:00	12.43	0.081255	0.1965240701016549	12.055845257169892	12.048393613801322	1.0006184760896286	0.0006184760896286168	12.43	12.0	0.09	1992.73	1992.73	12.437687657794083	1992.84	2000.0	2000.0
2012-03-27 01:30:00	Dataset 1	2012-03-27 01:30:00	11.53	0.10841300000000001	0.1731010236070193	11.504149332527199	11.527720993692647	0.9979552193205973	-0.0020447806794027246	11.53	12.0	0.11	1948.52	1948.52	11.506423678766486	1946.84	1934.447215484401	1932.6585763557296
2012-03-27 01:40:00	Dataset 1	2012-03-27 01:40:00	10.77	0.112349	0.1821918474855226	10.555461626841916	10.588377608062892	0.996891310223399	-0.003108689776600948	10.77	11.0	0.11	1842.59	1842.59	10.736519411106007	1834.58	1820.6943647700314	1812.8504943599864
